Probe1(Oxy),CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47
21,6.912248336802461,13.360169073570315,21.747960556700896,31.102607632307635,26.26009732618956,22.94174896387632,14.3024267237886,6.850452212012664,11.919859542813535,15.356833038392377,20.280369155761566,22.33220764673927,14.315493514576357,10.20264965516536,12.29271164634466,23.39483784113507,41.69255255298904,50.48993944020031,50.63801224769888,44.511258250391826,44.42244057658758,57.952240198517615,54.69524544366115,31.53115350335487,35.96893116471554,50.688591769914126,54.9567277971626,51.52682522644335,45.17827130065484,62.72978696473384,68.03211818111265,43.77412564242695,57.679721987233265,80.92189004779749,82.28333081641314,79.75567274185798,57.57496059340644,34.4701961259564,22.624803021188903,-3.0473359684951262,-16.884425533021073,-8.719829396104252,-8.959898364411515,-19.922031557467257,-38.04979545462414,-38.857135774019646,-38.13718263838193,-40.24922826680902
22,6.900793219922096,12.427711595921782,20.609480480439032,30.17911525416978,28.187521684315865,26.93991291702197,16.021387396250148,6.856362604393947,10.762706146673127,14.856949314198278,20.372025893820524,21.111899157213564,12.063167205280793,7.927590778700313,10.238705429337543,22.68663833522666,42.468044328057225,51.79102733981058,52.22912805327461,45.465600176403626,45.061284632785004,59.909912988108374,57.35901163228957,33.480761472260006,37.60981184339295,52.795401874569656,57.56769123308676,54.788184036392266,49.5563081927706,65.85448482568145,72.29976187173074,50.267708364482566,64.25274556989692,88.30429182992908,90.45390745522144,89.09474448423151,66.60971866527079,41.71625477622053,28.135715014614405,2.296865816838217,-11.26313522332965,-3.7756643817074376,-3.174630860527686,-13.144323872433569,-31.2655698756541,-30.207709909732998,-30.209862092327988,-34.043098313024004
23,8.285856849575683,17.311847667106665,27.217726280386806,36.61280775305437,35.09082336925976,34.622500428690145,24.786929007174813,16.55706018026308,20.579032149463888,25.067814360486906,33.47404566419719,38.32291430827662,30.94570689613716,25.309718338855365,25.252188514025136,35.06641112486571,52.34462292925858,60.69615459834926,61.39735220793892,55.051007958034674,53.79629559053556,67.46897307853008,64.22452907558612,38.52944623834263,40.5508979759003,54.486467778294426,60.104068837051926,58.16516234765194,52.060133016794055,70.40007301343225,78.75558207853113,60.76036448644563,77.49747759496319,98.01463501066374,97.13544261225044,93.62111548113853,69.98602343006924,43.710842798751635,30.29636253660917,5.890824180692139,-8.583182318871138,-0.9410411606661928,1.3813624792520978,-8.972354389178076,-28.465251160720307,-29.94249255688379,-31.128612628868147,-34.64305221805948
24,8.858859076200929,18.092987408873764,26.905431913402772,36.740200092976515,35.8585306436607,34.796693197432944,24.809630658266933,15.947072448545107,19.994982601649312,24.370493434585804,31.965342315070618,37.20776083923141,30.55380201542781,24.202680291529333,24.26955213508615,34.49048237211224,50.96068823832715,58.820676007336175,58.71250058996631,54.38323833388843,54.42404191106565,65.52279967382961,61.27252522769916,35.59920424367631,36.63837258032211,49.765692111612005,57.25354147220399,57.2473954075252,50.87338290187954,71.71516159277114,83.34343465275157,61.93142180512821,75.32868559893001,96.36256238843723,95.28617012358232,91.70091575242965,68.13936216248092,41.81964788236314,28.231592048844686,3.143248455088308,-12.409608304483662,4.0237164450031155,13.806785625463771,-0.26758061585803716,-23.07589042391617,-27.138338236593114,-33.467370560169115,-36.25292652044241
25,8.023174566754538,16.15641480558926,25.442374854769902,35.5868796736798,32.96500825878977,30.85516237786064,21.495956693241865,13.237459173643753,17.58249242739027,23.029193276803678,30.829891170030304,35.14665389289939,27.790151156387992,21.645613114861323,22.10951986505407,32.5676167586162,50.08365136399012,58.29798318864966,58.21883991986462,52.08270632201106,51.18941658114356,64.03951304645499,60.4806986803589,35.66862093662335,38.24293289107746,52.065665640139294,56.87315089512285,54.32794332508262,48.842132012834774,66.26189187076608,73.23588431550073,60.57641293238893,80.78979395419259,103.34784494100548,105.47802541545825,104.7189171914126,82.48282094597855,53.67062527675673,37.04288066077727,8.008858912484254,-9.429517454688789,-4.14007324218524,-2.8843125639048877,-11.578079914173552,-29.578792005205585,-32.14759876227056,-35.19720655276852,-38.01410993037704
26,7.740455117752936,15.174066707704391,25.40005011565432,36.91047030734757,34.70294341093832,32.35639493146239,21.926462186223457,13.0686090628241,16.077095156976398,20.596996135966933,28.64992211073793,32.85506232479722,24.25981521571702,18.2318552941469,18.814202381267087,30.200457456724656,49.67943422997595,57.74041487193171,57.822189975418155,49.56308017756711,46.604578276015495,60.607920182983634,58.21600940425156,34.391962806292334,37.95497113529433,51.856657884592295,54.418787419333036,50.08043138310501,45.035007063829056,61.616461010866544,68.41986272029817,52.135481103448015,68.45597133342041,88.67655891769897,90.49586530073925,89.81763191762442,67.02270252876087,42.19180622562695,28.237988132859847,0.2829140621778805,-15.666467228191305,-10.199552988049682,-9.740286495148375,-18.74575509811272,-36.79104578584643,-37.418040595778244,-39.99764928409838,-45.73888986921025
27,7.5195530929467544,13.88213474739262,21.752880610182167,32.008093567760184,29.30459126042503,26.51659701805486,16.46676614978796,7.767930347035046,11.150436356248068,15.685019371996912,22.65382272261256,25.350656107097787,16.09406080324199,10.873172915274399,12.509720968554927,22.813490066923865,41.962550141933434,51.74174445867132,53.02310986695722,44.882766088324885,41.58552246038563,54.82482505921749,52.52595388541032,29.925839444161703,33.38354055773176,47.465775759273065,50.65678558045503,46.48735053194519,41.63011574228703,57.86360186398693,64.52505591228002,48.39231019015053,64.64997676565922,85.17199003903632,86.63667132046788,84.50337363979894,61.36107978969216,37.78106514713172,23.968765356880578,-4.527473205375699,-19.43728690335956,-12.33887612832403,-11.051838081867531,-20.114843733087994,-38.63785583838444,-39.23168176084728,-39.17945335141059,-40.451213360537906
28,7.683632513070135,13.136272421021435,20.308319489943727,30.73515059483533,30.10799108115288,28.59082398885782,16.711594119748064,6.904770199062341,9.57349183058899,12.443581014095045,17.587800004568226,17.073084532667178,5.355815214894481,1.209459779636754,4.292596908528689,16.296861760554144,36.557869421521886,46.61636030539103,48.44282607224009,40.56250263148936,37.27690872151451,50.25768125295444,47.81206726167874,25.28465487314143,29.83600547170684,44.74172385314023,48.544443238519385,45.07571964907709,39.83922058834477,56.498293330259784,63.54612364986927,46.69121279235032,62.684072319862125,82.88754509309655,83.08040321481595,79.5506217192759,56.272975405904994,33.41157200771228,21.04119565052083,-6.385292686155903,-22.215587847356254,-17.19857035858519,-17.975423307388613,-24.56352695751538,-40.07464034673343,-43.49586236446505,-45.30219719372677,-46.11118840252607
29,5.250890050926982,7.8756227930241645,14.652919466497451,23.84087752137734,17.892611959891205,13.950388378310707,4.805000575023646,-3.6075821698154344,0.4437817967578319,4.541773527442858,9.00229744860262,9.907653465529462,0.36688715947079586,-4.023647627017527,-0.6977195879875019,11.316463032096527,31.265251336701997,41.1200682722982,42.62829190736441,35.511147052893584,33.02418797600602,45.83906872056178,43.57417323651701,21.31310025130053,26.20926819437314,41.778077738595435,46.26054687666073,43.32375028781382,38.20136978734384,55.014587492429165,62.1525116156591,45.14065925574771,61.37374873814396,87.9965970511623,92.79816283566402,93.88223030894879,73.68245143512601,45.29160304953892,28.44806522404147,-1.9196318200749936,-18.760387221451982,-14.004979979062078,-17.38771357539192,-28.81281420999376,-46.19208247775769,-70.80649427702032,-95.23471183218498,-88.26722638741222
30,6.763673723099891,11.70140997467829,19.222680010343012,28.93833637357958,20.82565720904475,14.987831336791885,7.458887495746031,0.9373730140613734,6.094121808179328,11.256192788646256,19.564977742853216,24.406950093952258,16.72800986468813,12.2190292796178,13.71698892285074,24.30874472594998,43.338625988226255,53.95110493911381,57.59285158092857,50.39606360041666,45.584071739313615,57.16864141454232,54.72437659776881,31.75683244893136,34.33134847273699,48.47230785667737,47.356835484594924,40.524395214365924,38.976259917068134,58.27295119193046,67.00529336630959,51.11502499239198,68.86854360583348,90.69326693120658,91.86326186384396,89.26028950220388,73.72367188880919,57.891979219437715,44.93808345680422,16.76307517716731,-1.2802301585625582,2.3769795076639464,1.77683247262532,-9.202734140622127,-28.87933505151338,-30.31035781143224,-29.677111287930778,-31.15742716772794
